old_case	baseline_inputs	baseline_sha256	assertion	disposition	destination	observation	verification
pa8/tests/120-constexpr-reference-static-object.t.1	pa8/tests/120-constexpr-reference-static-object.t.1	05cb5f81333344835da8c209554237ebd54c3ef7bcf01ad4b75372ecb30a17fd	Constant address of a mutable static object and reference alias identity	retain	pa16/tests/general/400-constexpr-reference-static-object-alias.t	Static address equality plus LowIR aliases; native probe mutates through second reference and reads original object	All referenced roots pass focused owning-stage checks with strict LowIR comparison; reference outcomes and retained observations reviewed
pa8/tests/120-linkedvar.t.1	pa8/tests/120-linkedvar.t.1;pa8/tests/120-linkedvar.t.2	677c993650f7fc2533402c306e78aad9ac8566a67bd263e4b69054bdd3dca600	External variable definition resolves across translation units	covered elsewhere	pa25/tests/general/100-extern-global.t	Existing two-source case reads an externally defined variable at runtime through the same driver routes; value 3 versus 6 is immaterial.	Assertion/reference review against general and spec suites; destinations pass ordinary and batch checks with strict LowIR comparison (144-root pass, then three changed declaration cases rechecked after four further duplicate removals)
pa8/tests/130-staticvar.t.1	pa8/tests/130-staticvar.t.1;pa8/tests/130-staticvar.t.2	5ab2fd5a89f8b2ad15f27fe6058d4f0a9f12469649f3148e706e96181f3a13bd	Same-spelled static and unnamed-namespace objects remain distinct	retain	pa25/tests/general/100-internal-object-identity-across-tus.t	Runtime values 1/2 versus 3/4 and distinct object addresses through all three driver routes	All referenced roots pass focused owning-stage checks with strict LowIR comparison; reference outcomes and retained observations reviewed
pa8/tests/150-inline-namespace.t.1	pa8/tests/150-inline-namespace.t.1	c56cd43b2536903bbc56c7c5591516ac6bc3f5a00cd0f48bd52acc51c42f6b23	150 inline namespace	retire		Legacy incompatible namespace reopening negative; same decision as PA7 intake, valid reopening retained separately	Reviewed invalid-input or mock-format retirement; no replacement required
pa8/tests/150-inline-namespace2.t.1	pa8/tests/150-inline-namespace2.t.1	a99b7e1ef526f854de036159aebc8802dc7e2a22a00e9496c3a7162e4e714251	An inline namespace can be reopened without repeating inline	reduce/split	pa6/tests/general/100-inline-and-anonymous-using.t	Inline namespace lookup case extended with compatible non-inline reopening; no second empty-scope case.	Assertion/reference review against general and spec suites; destinations pass ordinary and batch checks with strict LowIR comparison (144-root pass, then three changed declaration cases rechecked after four further duplicate removals)
pa8/tests/150-static-thread-local-cross-tu.t.1	pa8/tests/150-static-thread-local-cross-tu.t.1;pa8/tests/150-static-thread-local-cross-tu.t.2	28c9a66920325fe433e0d08e639931e66cc55c13ef3ae770fa0206d1d34837a4	Thread storage does not erase internal linkage	reduce/split	pa11/tests/general/100-static-thread-local-internal-linkage.t;pa27/tests/general/200-internal-thread-local-identity-across-tus.t	PA16 observes internal TLS metadata; host-interoperability runtime observes distinct TU-local storage and values 1/2. Does not claim per-thread isolation.	All referenced roots pass focused owning-stage checks with strict LowIR comparison; reference outcomes and retained observations reviewed
pa8/tests/150-thread-local-redeclaration-agreement.t.1	pa8/tests/150-thread-local-redeclaration-agreement.t.1	8c0c7b01bbb88e0a0753505e71f2ae6bd824187e84a7d34d551bf02f0fe79454	Definition and agreeing extern declaration retain thread storage and initialized values	retain	pa11/tests/general/100-thread-local-redeclaration-storage.t	LowIR retains x as a zero definition and y as initialized TLS value 7	All referenced roots pass focused owning-stage checks with strict LowIR comparison; reference outcomes and retained observations reviewed
pa8/tests/150-thread-local.t.1	pa8/tests/150-thread-local.t.1	15bc9e9bbfc97e9e2f063acda965efa58e6d8866de17e0ea65df7683562cffca	Zero-initialized thread storage	covered elsewhere	pa27/tests/general/200-internal-thread-local-zerofill-runtime-smoke.t	Existing TLS runtime coverage; flat mock image did not test per-thread identity	All referenced roots pass focused owning-stage checks with strict LowIR comparison; reference outcomes and retained observations reviewed
pa8/tests/200-char-before-function-alignment.t.1	pa8/tests/200-char-before-function-alignment.t.1	70333a31ce526527923413c15b6bfb3bea67b2e6c0f5919ccf81f5f533407837	Mock-function fixed image alignment	retire		Fixed stub bytes and image offsets are obsolete; scalar character data is retained in the fundamental initializer case	Reviewed invalid-input or mock-format retirement; no replacement required
pa8/tests/200-function-typedef-declarations.t.1	pa8/tests/200-function-typedef-declarations.t.1	71816664f43c0d6235e5a6b6548dffcaa37d12cf3b8eafd581a8cd43c65f8106	Function declarations through a typedef and parenthesized definition	retain	pa6/tests/general/200-function-alias-definition-redeclaration.t	Alias has function type; compatible declarations and definitions have the same function type	All referenced roots pass focused owning-stage checks with strict LowIR comparison; reference outcomes and retained observations reviewed
pa8/tests/200-function.t.1	pa8/tests/200-function.t.1	2816c33aeb4b8a464469d3a8c2d99208fa3413bff9ce531408ece07521324fcb	Null-initialized function pointer storage	reduce/split	pa10/tests/general/200-fundamental-global-initializers.t;pa10/tests/general/100-global-function-pointer-argument-call.t	Null function-pointer storage joins the scalar-data case; function emission and function-pointer calls already covered.	Assertion/reference review against general and spec suites; destinations pass ordinary and batch checks with strict LowIR comparison (144-root pass, then three changed declaration cases rechecked after four further duplicate removals)
pa8/tests/200-fundamental.t.1	pa8/tests/200-fundamental.t.1	93f9c5cb987e0921e5a19e26614370a0f2ca35ec5fe10f9048e2b46e813fc786	Fundamental scalar initialized data and zero initialization	retain	pa10/tests/general/200-fundamental-global-initializers.t	LowIR typed values for all integer/character/floating widths, Unicode code points, zero long double, and null void pointer	All referenced roots pass focused owning-stage checks with strict LowIR comparison; reference outcomes and retained observations reviewed
pa8/tests/250-nullptr.t.1	pa8/tests/250-nullptr.t.1	3f435f0dc1f5fb97e6a0365ed62041e316d912200812ea1ed6401ea41b4fa58d	Null pointer initialization	covered elsewhere	pa10/tests/general/200-global-pointer-array-nullptr-init.t	Existing LowIR pointer element initialized by nullptr observes null pointer data; an independent standalone scalar spelling adds no required behavior.	Assertion/reference review against general and spec suites; destinations pass ordinary and batch checks with strict LowIR comparison (144-root pass, then three changed declaration cases rechecked after four further duplicate removals)
pa8/tests/300-array.t.1	pa8/tests/300-array.t.1	3fc3a0b463fd942d2edb468edb437d1cb3f7f19cf54191a96f699442816522b8	Zero-initialized ten-element array storage	covered elsewhere	pa10/tests/general/200-global-array-element-address-initializer.t	Existing integer array emits zero storage of the declared size and an address to an element; no ten-element duplicate needed.	Assertion/reference review against general and spec suites; destinations pass ordinary and batch checks with strict LowIR comparison (144-root pass, then three changed declaration cases rechecked after four further duplicate removals)
pa8/tests/300-bad-ref1.t.1	pa8/tests/300-bad-ref1.t.1	cca26561bf02cfa05045fd5c42d64031c5ce40a9bd4338eb49ea84990af85fb0	Pointer-to-reference type rejection	covered elsewhere	pa6/tests/general/200-bad-pointer-to-reference-alias.t	Existing semantic rejection uses an alias; obsolete direct invalid syntax is not required	All referenced roots pass focused owning-stage checks with strict LowIR comparison; reference outcomes and retained observations reviewed
pa8/tests/300-bad-ref2.t.1	pa8/tests/300-bad-ref2.t.1	c54d97283a2d0413871579addc92f1f882078df86892283ab868f9c84dd63b4a	300 bad ref2	retire		Legacy reference-to-void negative; invalid input need not survive the format retirement	Reviewed invalid-input or mock-format retirement; no replacement required
pa8/tests/300-bad-ref3.t.1	pa8/tests/300-bad-ref3.t.1	1ed467e161fae35b11dbea805bd90005e8157df38cb1ea888260f0218c539248	300 bad ref3	retire		Direct reference-to-reference spelling is invalid; valid alias-based collapsing is already retained from PA7	Reviewed invalid-input or mock-format retirement; no replacement required
pa8/tests/300-constexpr-missing-initializer-bad.t.1	pa8/tests/300-constexpr-missing-initializer-bad.t.1	9920b85a02f5f8d474023bc4b27340c53079c89dea86bfbb041187f886add590	A constexpr scalar requires an initializer	covered elsewhere	pa16/tests/general/500-bad-constexpr-scalar-missing-initializer.t	Existing compile-fail fixture	All referenced roots pass focused owning-stage checks with strict LowIR comparison; reference outcomes and retained observations reviewed
pa8/tests/300-constexpr-nonconstant-initializer-bad.t.1	pa8/tests/300-constexpr-nonconstant-initializer-bad.t.1	2a833d7566f20ae245478eaec8c2eb175bc44c780207c423a590a5c4a6ac2b14	A constexpr scalar requires a constant initializer	covered elsewhere	pa16/tests/general/500-bad-constexpr-scalar-runtime-initializer.t	Existing compile-fail fixture uses a runtime call	All referenced roots pass focused owning-stage checks with strict LowIR comparison; reference outcomes and retained observations reviewed
pa8/tests/300-constexpr-zero-id-pointer-bad.t.1	pa8/tests/300-constexpr-zero-id-pointer-bad.t.1	06b9a61b24a74eb866a03eb801695fb0d7788fcbc3e5449293379bfeeee738e7	300 constexpr zero id pointer bad	retire		Do not import revision-sensitive legacy null-pointer-constant rejection; existing later constexpr call rejection remains	Reviewed invalid-input or mock-format retirement; no replacement required
pa8/tests/300-cross-tu-constant-visibility-bad.t.1	pa8/tests/300-cross-tu-constant-visibility-bad.t.1;pa8/tests/300-cross-tu-constant-visibility-bad.t.2	feed3abb3ec12f891bf65f9b985937181e374cdae67bb5534d4f79294c80fde9	A definition in another translation unit cannot supply a compile-time array bound	retain	pa6/tests/general/300-cross-tu-constant-not-visible.t;pa6/tests/general/300-cross-tu-constant-not-visible.t2	Separate translation units in one invocation; expected failure when the second unit uses an extern constant as a bound	Grouped test passes ordinary and batch; reference is EXIT_FAILURE; independent positive TU-isolation control emits two scopes with int and double
pa8/tests/300-cv-through-typedef-constant.t.1	pa8/tests/300-cv-through-typedef-constant.t.1	70d1f403a9d3a0f956b3c79913878af8bc817f019d0fce200bf2b17833ed457c	Const-qualified alias contributes a constant array bound	retain	pa6/tests/general/200-cv-alias-constant-array-bound.t	Type dump shows const int binding and five-element array	All referenced roots pass focused owning-stage checks with strict LowIR comparison; reference outcomes and retained observations reviewed
pa8/tests/300-function-typedef-definition-bad.t.1	pa8/tests/300-function-typedef-definition-bad.t.1	78515b54cdf42cd01e67a103ccecd3edac1b6fc2ea36eeeeb92c09b7c5275b41	300 function typedef definition bad	retire		Invalid function-definition grammar; no nsinit parser or diagnostic compatibility obligation	Reviewed invalid-input or mock-format retirement; no replacement required
pa8/tests/300-inline-function.t.1	pa8/tests/300-inline-function.t.1;pa8/tests/300-inline-function.t.2	292ee129c8f73b3023017176718647efa72d5750ccbddf4a734a32191698583e	Shared inline definitions denote the same function across TUs	reduce/split	pa25/tests/general/100-inline-prior-declaration-defined-in-separate-objects.t	Existing inline definition/linkage case extended to compare function addresses across TUs as well as call results; no separate header-based group.	Assertion/reference review against general and spec suites; destinations pass ordinary and batch checks with strict LowIR comparison (144-root pass, then three changed declaration cases rechecked after four further duplicate removals)
pa8/tests/300-invalid-fundamental-specifiers-bad.t.1	pa8/tests/300-invalid-fundamental-specifiers-bad.t.1	485f7488bc00f666c4150ca3f18192939c8e14e138a480bc22f0ab3ae37dd22d	300 invalid fundamental specifiers bad	retire		Invalid signed-float declaration; no parser expansion solely to preserve this negative	Reviewed invalid-input or mock-format retirement; no replacement required
pa8/tests/300-nonenclosing-qualified-decl.t.1	pa8/tests/300-nonenclosing-qualified-decl.t.1	5982f1179b461ed19a584f1236f38441f2b209236487d782502b2cb4c59963d6	Out-of-namespace definition must be in an enclosing scope	covered elsewhere	pa6/tests/general/300-nonenclosing-qualified-definition-bad.t	Existing declaration diagnostic has the same reduced namespace graph	All referenced roots pass focused owning-stage checks with strict LowIR comparison; reference outcomes and retained observations reviewed
pa8/tests/300-scalar-array-initializer-bad.t.1	pa8/tests/300-scalar-array-initializer-bad.t.1	9235175acda75e486e5bf33098133a0cf02a272f9cd35d87dd96e9c8f226fe19	300 scalar array initializer bad	retire		Legacy invalid scalar-to-array initializer; positive array initialization is retained	Reviewed invalid-input or mock-format retirement; no replacement required
pa8/tests/300-thread-local-redeclaration-mismatch-bad.t.1	pa8/tests/300-thread-local-redeclaration-mismatch-bad.t.1	d13053806b258a7bdcf049f9c2f964de3a453cba890b9f32c94a06305f4f68c2	300 thread local redeclaration mismatch bad	retire		Legacy declaration disagreement negative; positive TLS agreement and storage retained	Reviewed invalid-input or mock-format retirement; no replacement required
pa8/tests/300-uninit-ref.t.1	pa8/tests/300-uninit-ref.t.1	9d73b678ad1727a422975ca65a1d6b8b5947102da397525f8ba4d0fa034563a4	Non-extern reference requires an initializer	covered elsewhere	pa6/tests/general/300-uninitialized-reference-bad.t	Existing compile-fail fixture	All referenced roots pass focused owning-stage checks with strict LowIR comparison; reference outcomes and retained observations reviewed
pa8/tests/300-void-ref.t.1	pa8/tests/300-void-ref.t.1	eb78dc0c61fdefce8a8507735639aab92ecd34668cfdc5426fcc52f75abdfe2e	Object of void type is invalid	covered elsewhere	pa6/tests/general/300-void-variable-bad.t	Existing compile-fail fixture; this is a void object, not a reference	All referenced roots pass focused owning-stage checks with strict LowIR comparison; reference outcomes and retained observations reviewed
pa8/tests/310-array-str-lit.t.1	pa8/tests/310-array-str-lit.t.1	e8eafc60b9e6098307f516c15f426c311f7ff80cc08a06a4736624de0e04f252	Character-array string data, inferred lengths, terminators, and trailing zeroes	retain	pa11/tests/general/200-character-array-string-data.t	LowIR global code units and padding for char/signed char/unsigned char/char16_t/char32_t/wchar_t arrays; no mock-image offsets	Fixed ordinary-string compatibility with signed/unsigned char; inspected all emitted units and padding; strict LowIR focused check passes with EXIT_SUCCESS
pa8/tests/320-using-directive-ambiguity-bad.t.1	pa8/tests/320-using-directive-ambiguity-bad.t.1	e730cd401a1b8dbacd653f01a9682ab95ae9a04f57cdcb8dfeeffc15b366d621	Conflicting using-directive lookup must be diagnosed	covered elsewhere	pa6/tests/general/300-ambiguous-using-directive-type-bad.t	Existing reduced type-lookup conflict; no new initializer-expression requirement	All referenced roots pass focused owning-stage checks with strict LowIR comparison; reference outcomes and retained observations reviewed
pa8/tests/340-array-const.t.1	pa8/tests/340-array-const.t.1	0c967173876b6ceffa264b4c6fb185c48abe3d4ed48c65392e94ffa8447ef675	340 array const	retire		Legacy uninitialized const-array negative; positive cv/array type coverage retained	Reviewed invalid-input or mock-format retirement; no replacement required
pa8/tests/350-function-to-pointer.t.1	pa8/tests/350-function-to-pointer.t.1	da918e046e7c8ba5e88584bb01185aa2297ae2659d6294a3e4be72e7ec9d4a23	Function decay and function-address global initialization	reduce/split	pa7/tests/general/200-function-decay-deref-call.t;pa10/tests/general/100-global-function-pointer-argument-call.t	Existing semantic function-decay case plus global function-pointer case, whose initializer now uses bare callee rather than &callee; same LowIR address and indirect call.	Assertion/reference review against general and spec suites; destinations pass ordinary and batch checks with strict LowIR comparison (144-root pass, then three changed declaration cases rechecked after four further duplicate removals)
pa8/tests/350-integer-to-pointer-bad.t.1	pa8/tests/350-integer-to-pointer-bad.t.1	8b1eae88daa720d879505906afb63d8a0c91ba2fa1016f86530154e9c8ad9167	350 integer to pointer bad	retire		Legacy non-null integer-to-pointer initializer rejection; no new early conversion requirement	Reviewed invalid-input or mock-format retirement; no replacement required
pa8/tests/350-multilevel-qualification-conversion-bad.t.1	pa8/tests/350-multilevel-qualification-conversion-bad.t.1	990869fbe6098d81ea80cb5b7311e02913caaf03164e9ae9c258ade0a982d7de	Recursive qualification cannot convert T** to const T**	covered elsewhere	pa7/tests/general/300-bad-deep-pointer-qualification-conversion.t	Existing semantic conversion diagnostic	All referenced roots pass focused owning-stage checks with strict LowIR comparison; reference outcomes and retained observations reviewed
pa8/tests/350-string-to-mutable-pointer-bad.t.1	pa8/tests/350-string-to-mutable-pointer-bad.t.1	fe924efc72f185cec55a8a1824f4d8e518fb498bbcc2c6644a65a8f1f6fbc4c5	350 string to mutable pointer bad	retire		Legacy mutable-string-pointer negative; do not expand an earlier literal subset solely to retain it	Reviewed invalid-input or mock-format retirement; no replacement required
pa8/tests/400-double-func-def.t.1	pa8/tests/400-double-func-def.t.1	f2ac91ec214ae483d51cb64f226ab5271928b1d439036318337c7b3952c46603	Duplicate function definitions are rejected	covered elsewhere	pa7/tests/general/300-bad-duplicate-function-definition.t	Existing duplicate definition diagnostic	All referenced roots pass focused owning-stage checks with strict LowIR comparison; reference outcomes and retained observations reviewed
pa8/tests/400-linked-function.t.1	pa8/tests/400-linked-function.t.1;pa8/tests/400-linked-function.t.2;pa8/tests/400-linked-function.t.3	273358830647dd57b698e9b6a943f622d4606b70463002b701ff1724036dc95f	Parameter top-level cv does not split function identities	reduce/split	pa7/tests/general/200-canonical-function-parameter-calls.t;pa25/tests/general/100-function-redeclaration-linkage-cross-tu.t	PA12 verifies adjusted signatures; reduced two-source runtime case verifies int and const volatile int parameter declarations emit matching linker identities. Repeated overload/cv matrix is unnecessary.	Assertion/reference review against general and spec suites; destinations pass ordinary and batch checks with strict LowIR comparison (144-root pass, then three changed declaration cases rechecked after four further duplicate removals)
pa8/tests/400-namespace-alias-misuse.t.1	pa8/tests/400-namespace-alias-misuse.t.1	1eb3e6213cd8aa0033533c460e7260a955e39b5c8ed4cf28b3673682c6d03ec4	A namespace alias cannot be reopened	covered elsewhere	pa6/tests/general/300-namespace-alias-reopened-bad.t	Existing exact scope diagnostic	All referenced roots pass focused owning-stage checks with strict LowIR comparison; reference outcomes and retained observations reviewed
pa8/tests/400-namespace-alias-to-self.t.1	pa8/tests/400-namespace-alias-to-self.t.1	9b06197d0366602aeda7e2ce7cef4bc6e254b499a51cf8ce95e3adce4c4bf36b	400 namespace alias to self	retire		Legacy namespace binding conflict negative; no independent new early requirement	Reviewed invalid-input or mock-format retirement; no replacement required
pa8/tests/400-using-decl-to-namespace.t.1	pa8/tests/400-using-decl-to-namespace.t.1	6580cbbf6e9f359ee522c446c9c72b9c0133103321b1c94424ebcbc82003edef	400 using decl to namespace	retire		Legacy using-declaration-to-namespace negative; positive using and alias lookup retained	Reviewed invalid-input or mock-format retirement; no replacement required
pa8/tests/410-namespace-conflict1.t.1	pa8/tests/410-namespace-conflict1.t.1	275c686809a6f5ac9ef99a476e6e52cd112b162c10a605b22991c62ba36cf057	410 namespace conflict1	retire		Legacy function/namespace collision variant; no need to preserve every invalid declaration combination	Reviewed invalid-input or mock-format retirement; no replacement required
pa8/tests/410-namespace-conflict2.t.1	pa8/tests/410-namespace-conflict2.t.1	7d77cd42b3950cbf23f8985391dd17c91124969b991bd99c7b685bf79ddeb65b	410 namespace conflict2	retire		Legacy alias/namespace collision variant; no need to preserve every invalid declaration combination	Reviewed invalid-input or mock-format retirement; no replacement required
pa8/tests/410-namespace-conflict3.t.1	pa8/tests/410-namespace-conflict3.t.1	0afdb7b56380e9ed7f9489aa8859100ea40f8ee8eab419988b78071870a6873f	410 namespace conflict3	retire		Legacy typedef/namespace collision variant; no need to preserve every invalid declaration combination	Reviewed invalid-input or mock-format retirement; no replacement required
pa8/tests/410-namespace-conflict4.t.1	pa8/tests/410-namespace-conflict4.t.1	9838bc9d0012452a7eba0ee386374397f89a59a3896b1b942a240a6e166b9715	410 namespace conflict4	retire		Legacy imported-type/namespace collision variant; no need to preserve every invalid declaration combination	Reviewed invalid-input or mock-format retirement; no replacement required
pa8/tests/410-namespace-conflict5.t.1	pa8/tests/410-namespace-conflict5.t.1	b5561627fcf4d61303d1600ee65cd11d9d56675b6e3cdaf9b19eb82146bbd4f9	410 namespace conflict5	retire		Legacy imported-value/namespace collision variant; no need to preserve every invalid declaration combination	Reviewed invalid-input or mock-format retirement; no replacement required
pa8/tests/410-namespace-conflict6.t.1	pa8/tests/410-namespace-conflict6.t.1	dc32bf9b7d756a661112a1dba9b8644d35f2289a03cc469c80f6e4ea85ed007e	Variable binding cannot be redeclared as a namespace	covered elsewhere	pa7/tests/general/300-binding-before-namespace-bad.t	Existing declaration conflict diagnostic	All referenced roots pass focused owning-stage checks with strict LowIR comparison; reference outcomes and retained observations reviewed
pa8/tests/450-cv-dropping-reference-bad.t.1	pa8/tests/450-cv-dropping-reference-bad.t.1	d1269aaeee8380596074d69f051f31f83e2eef94663dab8509f436405614272d	Reference binding cannot discard cv qualification	covered elsewhere	pa7/tests/general/100-bad-reference-binding-top-level-const-source.t	Existing reference-to-pointer case checks the top-level qualification rule	All referenced roots pass focused owning-stage checks with strict LowIR comparison; reference outcomes and retained observations reviewed
pa8/tests/450-lvalue-to-rvalue-reference-bad.t.1	pa8/tests/450-lvalue-to-rvalue-reference-bad.t.1	6edfdacaa488282b8be3a491b5dc6b0fe8c3cb56f1e3e2eeae5f86f334851b1c	450 lvalue to rvalue reference bad	retire		Legacy invalid binding negative; valid reference types and collapsing remain covered	Reviewed invalid-input or mock-format retirement; no replacement required
pa8/tests/450-reference.t.1	pa8/tests/450-reference.t.1	d4bdf2e2d0960c6d3256c4e0483b3368b36e8c9822abcad41410cd5c85df4216	Namespace-scope reference materializes initialized temporary with static lifetime	retain	pa10/tests/general/100-global-reference-temporary.t	LowIR backing global contains 3 and the reference names it; temporary is not in the initializer function stack frame	All referenced roots pass focused owning-stage checks with strict LowIR comparison; reference outcomes and retained observations reviewed
pa8/tests/500-lookup-cache-invalidation.t.1	pa8/tests/500-lookup-cache-invalidation.t.1	da6bef97882e2a7905ceff2d9720226280695784847c55200edfcef7d9878b3f	Lookup after namespace extension and using edges reflects current declarations	covered elsewhere	pa6/tests/general/200-lookup-after-using-graph-change.t;pa10/tests/general/200-fundamental-global-initializers.t	PA11 distinguishes long/char bindings before and after using-graph changes. Typed literal initializers already have LowIR coverage; repeating values 1/2/3/4 in a second graph case adds no rule.	Assertion/reference review against general and spec suites; destinations pass ordinary and batch checks with strict LowIR comparison (144-root pass, then three changed declaration cases rechecked after four further duplicate removals)
pa8/tests/500-static-assert.t.1	pa8/tests/500-static-assert.t.1	94a44fb34eb4fc78e63ac97d13459b3add9f47a31171f6e9f02175ce21e5511b	500 static assert	retire		Legacy nonconstant assertion negative; positive const-integral assertion retained and existing static-assert negatives remain	Reviewed invalid-input or mock-format retirement; no replacement required
pa8/tests/500-static-assert2.t.1	pa8/tests/500-static-assert2.t.1	cb9285edb06143f28cc0d4e2d2e0ac43a7d755b375f1cd6ff51210022621b891	Const integral variable can supply a static assertion	covered elsewhere	pa6/tests/spec/200-const-int-static-assert.t	Existing specification case asserts an expression of a const integral binding and uses that binding as an array bound.	Assertion/reference review against general and spec suites; destinations pass ordinary and batch checks with strict LowIR comparison (144-root pass, then three changed declaration cases rechecked after four further duplicate removals)
pa8/tests/500-static-assert3.t.1	pa8/tests/500-static-assert3.t.1	9cbc28e26062f00cfc284a67b80770290aa101f8e024a9c0f2c609425a6ad603	Array address is a non-null constant pointer	covered elsewhere	pa16/tests/general/400-constexpr-pointer-truthiness.t	Existing array pointer and nullptr equality static assertions	All referenced roots pass focused owning-stage checks with strict LowIR comparison; reference outcomes and retained observations reviewed
pa8/tests/600-deep-function-type.t.1	pa8/tests/600-deep-function-type.t.1	173a938cb4b9dea900fc20ee79ad91f3e1fab118e8cab6e00f44bdaa9077f8e6	Nested function types compose	covered elsewhere	pa6/tests/general/200-parenthesized-function-parameters.t;pa6/tests/general/200-function-type-alias-composition.t	Existing intake cases compose nested function and pointer types; arbitrary nesting depth and redundant three-level reducer retired.	Assertion/reference review against general and spec suites; destinations pass ordinary and batch checks with strict LowIR comparison (144-root pass, then three changed declaration cases rechecked after four further duplicate removals)
pa8/tests/600-deep-namespace-initialization.t.1	pa8/tests/600-deep-namespace-initialization.t.1	c18277e0568b9f8b43565c955d703db32a7355fcff974676ebe397a61026372b	Initialized object belongs to nested namespace	covered elsewhere	pa6/tests/general/300-declaration-forms-valid.t;pa10/tests/general/200-included-namespace-global-definition.t	Nested namespace binding identity and initialized namespace data/read-back already covered. Arbitrary 600-depth/600-object workload and duplicate three-level reducer retired.	Assertion/reference review against general and spec suites; destinations pass ordinary and batch checks with strict LowIR comparison (144-root pass, then three changed declaration cases rechecked after four further duplicate removals)
pa8/tests/600-qualified-redeclaration.t.1	pa8/tests/600-qualified-redeclaration.t.1	b4fdce158eca6074918fb20f533764df708b2a901b8c843a22efa2f4d4199efb	Qualified definition retains prior declaration identity and initialized value	covered elsewhere	pa10/tests/general/200-qualified-global-definition-data.t	Combined qualified-definition case preserves A::x = 3 with strong external binding	All referenced roots pass focused owning-stage checks with strict LowIR comparison; reference outcomes and retained observations reviewed
pa8/tests/600-qualified-redeclaration2.t.1	pa8/tests/600-qualified-redeclaration2.t.1	a85fbf3d6dff720406a6f2a977e3dc667dfa977e5007c1fc9e794a90e658aba0	Qualified definition uses target scope for initializer lookup and array completion	reduce/split	pa10/tests/general/200-qualified-global-definition-data.t	One LowIR case observes target-scope initializer lookup, external const definition, completed array bound and zero storage; a second PA11 copy is unnecessary.	Assertion/reference review against general and spec suites; destinations pass ordinary and batch checks with strict LowIR comparison (144-root pass, then three changed declaration cases rechecked after four further duplicate removals)
pa8/tests/700-reference-to-reference.t.1	pa8/tests/700-reference-to-reference.t.1	c21deecd6113a35cbf49300e5fbcb466f29f1c399f577fdb8c3ef6b612e7898a	Reference aliases retain referent identity and compile-time bound	reduce/split	pa6/tests/general/300-declaration-forms-valid.t;pa10/tests/general/200-reference-chain-global-data.t	Existing PA11 positive control resolves a chained-reference array bound. PA15 separately observes global referent data, reference addresses and array storage; that storage observation is not a type-dump duplicate.	Assertion/reference review against general and spec suites; destinations pass ordinary and batch checks with strict LowIR comparison (144-root pass, then three changed declaration cases rechecked after four further duplicate removals)
pa9/tests/100-empty-program.t.1	pa9/tests/100-empty-program.t.1	de3cffaac90e913bc6fb7f3971d5c1f73d0d6ee0efda0ae08f706db49f0629da	Accept an empty preprocessed CY86 program	retire		CY86-only acceptance rule; LowIR program structure has its own introductory contract.	Baseline input/contract reviewed; no CY86 fixture copied. Native retirement/build gates recorded in tracker.
pa9/tests/100-noop.t.1	pa9/tests/100-noop.t.1	503562eba9f994800ebb7f6f86f03b37acdb9836057d2dee887a2681078a49e6	Emit and run an explicit exit-success syscall	retire	pa24/tests/strict/100-ret0.t	Retire the syscall-language fixture; native entry/exit behavior is already exercised through LowIR.	Baseline input/contract reviewed; no CY86 fixture copied. Native retirement/build gates recorded in tracker.
pa9/tests/100-ret42.t.1	pa9/tests/100-ret42.t.1	8da68208781fea9edef19b1af1cf2eb94714df4a90bb4904e526bf9f8b908562	Emit an explicit syscall with a nonzero exit status	retire	pa24/native-encoding.md	Retire CY86 syntax; the integrated native encoding lesson demonstrates an inspected ELF exiting with status 42.	Baseline input/contract reviewed; no CY86 fixture copied. Native retirement/build gates recorded in tracker.
pa9/tests/110-hello-world.t.1	pa9/tests/110-hello-world.t.1	a34e7abfab241b551a6ffaced60a5d20df0d1dacd082d9bd8c8d5304c4510f4d	Place string data and invoke the Linux write syscall	retire		Retire the CY86 syscall/string-placement API. Later hosted execution owns library I/O; no new generic-syscall LowIR requirement.	Baseline input/contract reviewed; no CY86 fixture copied. Native retirement/build gates recorded in tracker.
pa9/tests/200-duplicator.t.1	pa9/tests/200-duplicator.t.1	20bde859f1bf8385a6c162a9eecc6e476d7cbb7562b67aa5bf725b3c8cd9d964	Copy input bytes using the CY86 bundled I/O and memcpy routines	retire		Retire the bundled CY86 I/O program; this is not a missing native compiler assertion.	Baseline input/contract reviewed; no CY86 fixture copied. Native retirement/build gates recorded in tracker.
pa9/tests/210-reverser.t.1	pa9/tests/210-reverser.t.1	ea1600c813aa115671d5a8ca021cd99eaa68831ca3e12cc44ea6b7b090902003	Loop over input bytes and reverse them through the CY86 I/O runtime	retire		Retire the bundled CY86 application. PA13 sum/swap and existing native memory/control cases cover the retained learning objectives.	Baseline input/contract reviewed; no CY86 fixture copied. Native retirement/build gates recorded in tracker.
pa9/tests/220-hexdump.t.1	pa9/tests/220-hexdump.t.1	6bf02d937ca570080e271be8855099f442fc792ca5b43a6534b87b31a5be435d	Convert input bytes to hexadecimal text through CY86 I/O	retire		Retire the CY86 application and its text formatting; no corresponding compiler contract to migrate.	Baseline input/contract reviewed; no CY86 fixture copied. Native retirement/build gates recorded in tracker.
