test	directory	prefix	opus_initial	trusted_initial	aggregate_reason	opus_failure	trusted_failure	feature_cluster	opus_commit_evidence	opus_plan_evidence	opus_log_evidence	candidate_owner_pa	classification	minimal_example	proposed_test_path	action_status	notes
pa23/tests/general/400-bool-or-dependent-member-type-conditional-base.t	pa23/tests/general	400	fail	fail	both_fail	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	non-type-template-argument-deduction-packs-and-static-values	8e4c41d4 nested template-id NTTP deduction; 984146a7c NTTP pack in nested template-id; b444d928a array-bound NTTP deduction in class partial spec; d062aba6a synthesize NTTP pack in partial ordering; 9cfd2427e bind NTTP pack on template/alias instantiation; 25727803a reference/pointer NTTPs	Opus final plan Work log items 11/12 and loop notes connect NTTP packs/static values with partial-specialization and deduction behavior.	Opus initial PA23 failure seeded from analysis/pa23-initial-failures: tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	pa21	missing-earlier-feature	pa21/tests/general/400-bool-or-dependent-member-type-conditional-base.t	pa21/tests/general/400-bool-or-dependent-member-type-conditional-base.t	test-added	Exact PA23 source promoted as PA21 dependent bool/non-type conditional partial-specialization reducer; g++ C++11 valid; current/reference compare clean; Opus start 1963d796e rejects, Opus 1434a6e11 compares clean; focused PA21 check, placement audit, and PA21 report passed.
pa23/tests/general/400-class-template-constructor-template-braced-pack-init.t	pa23/tests/general	400	pass	fail	trusted_only		tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	member-template-entity-and-call-integration	42beb854b member template definition relink; 7571a0d7b using-declaration imports member template overloads; 670045ef2 member template as TTP arg; 24db2e7ce using-imported member-template this adjustment	Opus plan loop notes cover member-template lookup/call/import behavior across class scopes and template argument forms.	Opus initial PA23 baseline passed this row (trusted_only seed); no Opus fixing transition, classification from test content plus Trusted seeded failure: tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	pa21-or-pa22	implementation-bug-only	derive reduced example from pa23/tests/general/400-class-template-constructor-template-braced-pack-init.t		no-action	Opus PA23 start baseline already passed this row; under the Opus-gated backfill workflow there is no start/fix transition proving a missing earlier reducer. No earlier assignment test added.
pa23/tests/general/400-common-type-current-specialization-member-return.t	pa23/tests/general	400	pass	fail	trusted_only		tool timed out (expected EXIT_SUCCESS, got EXIT_TIMEOUT)	dependent-qualified-lookup-current-specialization-and-friend-scope	7020b769c dependent qualified name without typename; 3bec27bf4 alias-template-id qualifier in value context; 51026c3d2 injected-class-name functional cast; b921be822 substitute TTP in current-specialization type; 72025a570 NTTP from class-template-id arg + in-class labels; 997e77f27 qualified-member call most-vexing parse	Opus final pa23/plan.md Work log items 5/8/10 and Loop 56 notes cover dependent qualified lookup, current specialization, friend/member scope, and source owner preservation.	Opus initial PA23 baseline passed this row (trusted_only seed); no Opus fixing transition, classification from test content plus Trusted seeded failure: tool timed out (expected EXIT_SUCCESS, got EXIT_TIMEOUT)	pa18-or-pa21	implementation-bug-only			no-action	seed=trusted_only; Opus PA23 start 1963d796e already accepts this row, so there is no Opus fail/fix transition for an earlier reducer backfill.
pa23/tests/general/400-constructor-template-braced-pack-init.t	pa23/tests/general	400	pass	fail	trusted_only		tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	member-template-entity-and-call-integration	42beb854b member template definition relink; 7571a0d7b using-declaration imports member template overloads; 670045ef2 member template as TTP arg; 24db2e7ce using-imported member-template this adjustment	Opus plan loop notes cover member-template lookup/call/import behavior across class scopes and template argument forms.	Opus initial PA23 baseline passed this row (trusted_only seed); no Opus fixing transition, classification from test content plus Trusted seeded failure: tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	pa21-or-pa22	implementation-bug-only	derive reduced example from pa23/tests/general/400-constructor-template-braced-pack-init.t		no-action	Opus PA23 start baseline already passed this row; under the Opus-gated backfill workflow there is no start/fix transition proving a missing earlier reducer. No earlier assignment test added.
pa23/tests/general/400-conversion-function-template-prefers-nontemplate.t	pa23/tests/general	400	fail	fail	both_fail	generated LowIR does not match reference after relaxed metadata canonicalization and order canonicalization; canonical diff written to tests/general/400-conversion-function-template-prefers-nontemplate.my.lowir.compare.diff	generated LowIR does not match reference after relaxed metadata canonicalization and order canonicalization; canonical diff written to tests/general/400-conversion-function-template-prefers-nontemplate.my.lowir.compare.diff	constructor-and-conversion-template-deduction-overload-selection	12a043a36 converting ctor-template reference binding; 06faea325 prefer rvalue ctor template; a6c373488 ICS ctor selection; 8282e47cf by-value converting ctor template; 6e909ebd5 conversion-function-template copy-init; f8660aa27 assignment via conversion operator	Opus final plan Loop 55/56 and Work log item 11 describe constructor/conversion-template deduction, overload ranking, copy-init, and assignment conversion composition.	Opus initial PA23 failure seeded from analysis/pa23-initial-failures: generated LowIR does not match reference after relaxed metadata canonicalization and order canonicalization; canonical diff written to tests/general/400-conversion-function-template-prefers-nontemplate.my.lowir.compare.diff	pa22	harness-or-reference-issue	analysis/reducers/pa22-conversion-function-template-prefers-nontemplate.t		no-action	seed=both_fail; reducer is C++11-valid and current accepts it, but external reference rejects assignment as ambiguous instead of preferring the non-template conversion function; recorded in analysis/reference-reducer-failures.md as reference-compiler-bug.
pa23/tests/general/400-cv-qualified-template-id-wrapper-class-partial-specialization.t	pa23/tests/general	400	fail	fail	both_fail	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	class-partial-specialization-matching-ordering-with-dependent-args	72e996289 non-deduced-context partial specialization; 15a2e9c8d cv/trailing-pack matching and ordering; 7fcd5c92a defaulted trailing partial-spec args; a3c294645 function-type trailing pack; b444d928a array-bound class partial specialization; 8e4c41d4 nested NTTP deduction	Opus final plan Work log items 3/4/7/11/12 document partial-specialization matching, ordering, non-deduced contexts, function types, packs, defaults, and NTTPs.	Opus initial PA23 failure seeded from analysis/pa23-initial-failures: tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	pa21	harness-or-reference-issue	derive reduced example from pa23/tests/general/400-cv-qualified-template-id-wrapper-class-partial-specialization.t		no-action	seed=both_fail; PA21 README: template entity/specialization model, alias/variable/member templates, TTPs, partial specialization, explicit-instantiation ownership; no assignment tests or refs added in this audit pass; Reference-blocked reducer: analysis/reducers/pa21-cv-qualified-template-id-wrapper-class-partial-specialization.t; Opus start 1963d796e rejects and a3c294645 accepts, but external reference reports ambiguous partial class specialization; g++ C++11 accepted; current compiler accepts; see analysis/reference-reducer-failures.md
pa23/tests/general/400-defaulted-nested-cv-template-template-partial-specialization.t	pa23/tests/general	400	fail	fail	both_fail	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	template-template-parameter-deduction-and-alias-forwarding	07373f00d TTP deduction in partial specializations; 4bc0c87fe alias-expanded TTP args; 54e85f719 TTP SFINAE binding; 670045ef2 member template as TTP arg; 1434a6e11 synthetic __ttdeduce args	Opus final plan Work log and Loop 57/60 notes cover template-template deduction through aliases, member templates, defaults, and nested >=2-arg cases.	Opus initial PA23 failure seeded from analysis/pa23-initial-failures: tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	pa21	harness-or-reference-issue	analysis/reducers/pa21-defaulted-nested-cv-template-template-partial-specialization.t		no-action	seed=both_fail; reducer is C++11-valid and current accepts it, but external reference rejects with failed holder<map<int,value>>::value static_assert; recorded in analysis/reference-reducer-failures.md as reference-compiler-bug.
pa23/tests/general/400-dependent-alias-default-recomputed-after-substitution.t	pa23/tests/general	400	fail	pass	opus_only	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)		alias-template-dependent-expansion-and-rebinding	72e996289 alias-template pack binding; 3bec27bf4 alias-template-id qualifier in value context; 45820ae4b default args in alias expansion; e32a4ae29 value-context alias defaults; 05bc9195a forwarding alias patterns; 743b7a920 dependent alias pack patterns	Opus final pa23/plan.md Work log item 3 and Loop 56/57 notes identify alias-template expansion, defaults, dependent qualifiers, and pack-preserving rebinding.	Opus initial PA23 failure seeded from analysis/pa23-initial-failures: tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	pa22	feature-interaction-earliest-owner	analysis/reducers/pa22-dependent-alias-default-recomputed-after-substitution.t	pa22/tests/general/400-dependent-alias-default-recomputed-after-substitution.t	test-added	seed=both_fail; added PA22 dependent alias default recomputed-after-substitution reducer; Opus start 1963d796e rejected undeclared make_value and Opus commit 45820ae4b accepted; external refs and witness refs generated; focused check and witness compare passed; placement audit pa22 --fail-on-early passed; PA22 report passed 100/100.
pa23/tests/general/400-dependent-alias-nontype-sequence-filter.t	pa23/tests/general	400	fail	fail	both_fail	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	alias-template-dependent-expansion-and-rebinding	72e996289 alias-template pack binding; 3bec27bf4 alias-template-id qualifier in value context; 45820ae4b default args in alias expansion; e32a4ae29 value-context alias defaults; 05bc9195a forwarding alias patterns; 743b7a920 dependent alias pack patterns	Opus final pa23/plan.md Work log item 3 and Loop 56/57 notes identify alias-template expansion, defaults, dependent qualifiers, and pack-preserving rebinding.	Opus initial PA23 failure seeded from analysis/pa23-initial-failures: tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	pa22-portable-candidate	portable-rewrite-pending-validation	portable PA23 source rewritten; reduce from pa23/tests/general/400-dependent-alias-nontype-sequence-filter.t		no-action	seed=both_fail; Opus start 1963d796e rejected the original sequence/filter shape and Opus commit 44d58bf2e accepted it. Portable rewrite pass 2026-06-30: replaced hosted __make_integer_seq and the clang-rejected alias-pack shape with local C++11 make_integer_sequence plus append/filter helpers and a selected-value static_assert; g++/clang C++11 syntax, current cppgm compile, focused PA23 check, and PA19-PA23 placement audit passed. No earlier assignment test added yet; rerun Opus start/fix and external reference gates for the portable form before promotion. Intrinsic-specific coverage remains in PA34 compile tests.
pa23/tests/general/400-dependent-conditional-default-alias-recomputed.t	pa23/tests/general	400	fail	pass	opus_only	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)		alias-template-dependent-expansion-and-rebinding	72e996289 alias-template pack binding; 3bec27bf4 alias-template-id qualifier in value context; 45820ae4b default args in alias expansion; e32a4ae29 value-context alias defaults; 05bc9195a forwarding alias patterns; 743b7a920 dependent alias pack patterns	Opus final pa23/plan.md Work log item 3 and Loop 56/57 notes identify alias-template expansion, defaults, dependent qualifiers, and pack-preserving rebinding.	Opus initial PA23 failure seeded from analysis/pa23-initial-failures: tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	pa21	feature-interaction-earliest-owner	analysis/reducers/pa21-dependent-conditional-default-alias-recomputed.t	pa21/tests/general/400-dependent-conditional-default-alias-recomputed.t	test-added	seed=both_fail; added PA21 dependent conditional default alias recomputation reducer; Opus start 1963d796e rejected unknown Guard and Opus commit 45820ae4b accepted; external refs and witness refs generated; focused check and witness compare passed; placement audit pa21 --fail-on-early passed; PA21 report passed 100/100.
pa23/tests/general/400-dependent-constant-lookup.t	pa23/tests/general	400	pass	fail	trusted_only		tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	constant-evaluation-dependent-template-values	8bafc1c42 materialize named static value member; 1407a001e shift-count width fix; 693cb4159 emit static members of complete-object class-template instantiations	Opus final pa23/plan.md Fix 14 and Loop 60 notes describe dependent static value reads, static_assert/template-argument distinction, and object-completion static emission.	Opus initial PA23 baseline passed this row (trusted_only seed); no Opus fixing transition, classification from test content plus Trusted seeded failure: tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	none	implementation-bug-only	pa23/tests/general/400-dependent-constant-lookup.t		no-action	seed=trusted_fail; source is C++11-valid and current/reference accept it, but Opus PA23 start 1963d796e already accepts this row; no Opus fail/fix transition, so no earlier-assignment reducer promoted.
pa23/tests/general/400-dependent-decltype-call-pack-expansion.t	pa23/tests/general	400	pass	fail	trusted_only		tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	decltype-and-unevaluated-deduction-sfinae-composition	d83a0c5d8 decltype(expr) as template argument; a641bffb4 unparenthesized member access decltype; 711524aaf decltype-of-call pack expansion; ab8927777 destructor-call detector idiom; 527d304ee unevaluated sizeof surrogate call; 7ed506338 const-eval decltype(member-template-call)::value	Opus final pa23/plan.md Work log item 12 and loop notes cover decltype, unevaluated sizeof, detector idioms, and pack-aware call typing.	Opus initial PA23 baseline passed this row (trusted_only seed); no Opus fixing transition, classification from test content plus Trusted seeded failure: tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	pa22	implementation-bug-only			no-action	seed=trusted_only; Opus PA23 start 1963d796e already accepts this row, so there is no Opus fail/fix transition for an earlier reducer backfill.
pa23/tests/general/400-dependent-function-type-member-specialization.t	pa23/tests/general	400	fail	fail	both_fail	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	function-type-template-argument-and-partial-specialization-matching	c6e155e08 pa23: pack-expansion parameter in function-type template arguments	Opus final pa23/plan.md Work log item 7 and loop notes identify function-type template arguments, cv/ref qualifiers, and function-type partial specializations.	Opus initial PA23 failure seeded from analysis/pa23-initial-failures: tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	pa21	feature-interaction-earliest-owner	relay<R(Args...)> replays a deduced function-type pack into arity<R(Args...)> and selects fixed or trailing-pack partials	pa21/tests/spec/100-function-type-pack-partial-specialization-replay.t	test-added	Backfilled in PA21 spec. Historical reducer failed at Opus PA23 start 1963d796e with non-constant static_assert and passed at c6e155e08; focused LowIR and witness checks passed.
pa23/tests/general/400-dependent-less-than-enable-if-alias-type-id.t	pa23/tests/general	400	pass	fail	trusted_only		tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	sfinae-substitution-with-alias-member-pack-and-detector-idioms	no Opus fixing transition; direct PA23 source already passes Opus PA23 start anchor	Opus final pa23/plan.md Fix 24-25d documents defaulted-NTTP SFINAE guards, alias guard folding, member-template guard dropping, detector idioms, and overload relinking.	Opus initial PA23 baseline passed this row; rechecked direct source at 1963d796e and it exits 0, so it fails the required historical reducer gate.	pa22	implementation-bug-only			no-action	seed=trusted_only; skipped for Opus-backed backfill because the direct PA23 source already passes at Opus start 1963d796e; Trusted-only failure should be revisited only in a Trusted-specific audit.
pa23/tests/general/400-dependent-less-than-enable-if-nontype-parameter.t	pa23/tests/general	400	pass	fail	trusted_only		tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	sfinae-substitution-with-alias-member-pack-and-detector-idioms	no Opus fixing transition; direct PA23 source already passes Opus PA23 start anchor	Opus final pa23/plan.md Fix 24-25d documents defaulted-NTTP SFINAE guards, alias guard folding, member-template guard dropping, detector idioms, and overload relinking.	Opus initial PA23 baseline passed this row; rechecked direct source at 1963d796e and it exits 0, so it fails the required historical reducer gate.	pa22	implementation-bug-only			no-action	seed=trusted_only; skipped for Opus-backed backfill because the direct PA23 source already passes at Opus start 1963d796e; Trusted-only failure should be revisited only in a Trusted-specific audit.
pa23/tests/general/400-dependent-multiarg-function-type-template-argument.t	pa23/tests/general	400	fail	fail	both_fail	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	function-type-template-argument-and-partial-specialization-matching	c6e155e08 pa23: pack-expansion parameter in function-type template arguments	Opus final pa23/plan.md Work log item 7 and loop notes identify function-type template arguments, cv/ref qualifiers, and function-type partial specializations.	Opus initial PA23 failure seeded from analysis/pa23-initial-failures: tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	pa21	feature-interaction-earliest-owner	relay<R(Args...)> replays one- and multi-argument function types into arity<R(Args...)>	pa21/tests/spec/100-function-type-pack-partial-specialization-replay.t	test-added	Backfilled in PA21 spec. Historical reducer failed at Opus PA23 start 1963d796e with non-constant static_assert and passed at c6e155e08; focused LowIR and witness checks passed.
pa23/tests/general/400-dependent-nontype-braced-cast-argument.t	pa23/tests/general	400	pass	fail	trusted_only		tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	integral-nontype-template-arguments-and-constant-values	8e4c41d4 non-type deduction in nested template-id partial-spec patterns; 8bafc1c42 static value member materialization	Opus final plan ties integral NTTP values and static value members to PA19 metaprogramming and later PA22 deduction.	Opus initial PA23 baseline passed this row (trusted_only seed); no Opus fixing transition, classification from test content plus Trusted seeded failure: tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	pa19	implementation-bug-only	pa23/tests/general/400-dependent-nontype-braced-cast-argument.t		no-action	seed=trusted_only; no earlier assignment test added because the PA23 source shape already passes the Opus PA23 start anchor 1963d796e and sampled commits 8e4c41d4/8bafc1c42 with unchanged LowIR; Trusted failure kept as secondary evidence only, but no reducer has an Opus start/fix transition.
pa23/tests/general/400-dependent-nontype-member-template-owner.t	pa23/tests/general	400	pass	fail	trusted_only		tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	member-template-ownership-and-out-of-class-definition-replay	42beb854b link out-of-class member function template definitions; e8325194b out-of-class constructor templates; fd6f3e485 member class template definitions; a6212a3e1 parameter labels; 768c32e9f overload pairing	Opus final pa23/plan.md Work log item 2 and Loop 56/61 notes identify member-template body relinking, class/member out-of-class definitions, and source-order overload pairing.	Opus initial PA23 baseline passed this row (trusted_only seed); no Opus fixing transition, classification from test content plus Trusted seeded failure: tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	pa21	no-missing-opus-feature	pa23/tests/general/400-dependent-nontype-member-template-owner.t		no-action	Exact PA23 source is g++ C++11 valid and current/reference compare clean; Opus start 1963d796e also compares clean to the external reference, so it does not prove a missing earlier assignment feature.
pa23/tests/general/400-dependent-owner-member-class-template-partial-specialization.t	pa23/tests/general	400	fail	fail	both_fail	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	class-partial-specialization-matching-ordering-with-dependent-args	72e996289 non-deduced-context partial specialization; 15a2e9c8d cv/trailing-pack matching and ordering; 7fcd5c92a defaulted trailing partial-spec args; a3c294645 function-type trailing pack; b444d928a array-bound class partial specialization; 8e4c41d4 nested NTTP deduction	Opus final plan Work log items 3/4/7/11/12 document partial-specialization matching, ordering, non-deduced contexts, function types, packs, defaults, and NTTPs.	Opus initial PA23 failure seeded from analysis/pa23-initial-failures: tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	pa21	harness-or-reference-issue	derive reduced example from pa23/tests/general/400-dependent-owner-member-class-template-partial-specialization.t		no-action	seed=both_fail; PA21 README: template entity/specialization model, alias/variable/member templates, TTPs, partial specialization, explicit-instantiation ownership; no assignment tests or refs added in this audit pass; Reference-blocked reducer: analysis/reducers/pa21-dependent-owner-member-class-template-partial-specialization.t; Opus start 1963d796e rejects and 0cf7d2de0 accepts, but external reference rejects out-of-class member class-template partial collection; g++ C++11 accepted; current compiler accepts; see analysis/reference-reducer-failures.md
pa23/tests/general/400-dependent-pack-typename-nontype-expression.t	pa23/tests/general	400	fail	fail	both_fail	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	non-type-template-argument-deduction-packs-and-static-values	8e4c41d4 nested template-id NTTP deduction; 984146a7c NTTP pack in nested template-id; b444d928a array-bound NTTP deduction in class partial spec; d062aba6a synthesize NTTP pack in partial ordering; 9cfd2427e bind NTTP pack on template/alias instantiation; 25727803a reference/pointer NTTPs	Opus final plan Work log items 11/12 and loop notes connect NTTP packs/static values with partial-specialization and deduction behavior.	Opus initial PA23 failure seeded from analysis/pa23-initial-failures: tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	pa21	missing-earlier-feature	pa21/tests/general/400-dependent-pack-typename-nontype-expression.t	pa21/tests/general/400-dependent-pack-typename-nontype-expression.t	test-added	Exact PA23 source promoted as PA21 pack-expanded non-type expression reducer; g++ C++11 valid; current/reference compare clean; Opus start 1963d796e rejects, Opus 1434a6e11 compares clean; focused PA21 check, placement audit, and PA21 report passed.
pa23/tests/general/400-dependent-qualified-inherited-member-type.t	pa23/tests/general	400	pass	fail	trusted_only		tool timed out (expected EXIT_SUCCESS, got EXIT_TIMEOUT)	dependent-base-and-inherited-constructor-template-integration	27f04fc71 inherited constructor template from dependent base; 37911131f route inherited ctor template by arity; 33cb6e026 spread pack parameter names; dca15bce inherited ctor template wrapper; 0ed91f49d drain inherited-ctor wrapper	Opus final pa23/plan.md Loop 58/60 notes track inherited constructor templates, dependent bases, pack forwarding, wrapper emission, and partial-specialization combinations.	Opus initial PA23 baseline passed this row (trusted_only seed); no Opus fixing transition, classification from test content plus Trusted seeded failure: tool timed out (expected EXIT_SUCCESS, got EXIT_TIMEOUT)	pa22	implementation-bug-only	direct PA23 reducer common_type<duration<int,int>, duration<int,int> >::type		no-action	Skipped: direct PA23 reducer already passes the Opus PA23 start anchor 1963d796e, so it fails the required historical reducer gate for an Opus-backed earlier test. No PA22 backfill added from this row.
pa23/tests/general/400-dependent-remove-cv-transform-alias-substitution.t	pa23/tests/general	400	fail	fail	both_fail	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	vendor-builtin-template-traits-and-pack-intrinsics	21c3199fa __type_pack_element; cc00b5bf8 builtin unary type transforms; 44d58bf2e __make_integer_seq	Opus plan work log and loop notes call out vendor builtins/type transforms as PA23-forced compatibility forms needing owner decisions.	Opus initial PA23 failure seeded from analysis/pa23-initial-failures: tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	pa22-portable-candidate	portable-rewrite-pending-validation	portable PA23 source rewritten; reduce from pa23/tests/general/400-dependent-remove-cv-transform-alias-substitution.t		no-action	seed=both_fail; portable rewrite pass 2026-06-30: replaced hosted __remove_cv transform with local C++11 remove_cv helper; g++/clang C++11 syntax, current cppgm compile, focused PA23 check, and PA19-PA23 placement audit passed. No earlier assignment test added yet; rerun Opus start/fix and external reference gates for the portable form before promotion. Intrinsic-specific coverage remains in PA34 compile tests.
pa23/tests/general/400-elaborated-type-template-arg-false-branch.t	pa23/tests/general	400	fail	pass	opus_only	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)		elaborated-type-template-argument	4ffffe9df elaborated-type-specifier as a template argument	Opus final pa23/plan.md Work log item 7 names elaborated-type template arguments such as If<B, struct PrivateNat, int>.	Opus initial PA23 failure seeded from analysis/pa23-initial-failures: tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	pa21	missing-earlier-feature	pa21/tests/spec/200-elaborated-type-template-argument.t	pa21/tests/spec/200-elaborated-type-template-argument.t	test-added	seed=opus_only; PA21 README: template entity/specialization model, alias/variable/member templates, TTPs, partial specialization, explicit-instantiation ownership; no assignment tests or refs added in this audit pass; reducer validation: smaller /tmp reducer failed at Opus start 1963d796e with unknown type name If<false,struct PrivateNat,int> and passed at Opus fix 4ffffe9df; LowIR and witness refs generated with /home/vishvananda/work/phases/reference-binaries/cppgm++
pa23/tests/general/400-elaborated-type-template-arg-true-branch.t	pa23/tests/general	400	fail	pass	opus_only	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)		elaborated-type-template-argument	4ffffe9df elaborated-type-specifier as a template argument	Opus final pa23/plan.md Work log item 7 names elaborated-type template arguments such as If<B, struct PrivateNat, int>.	Opus initial PA23 failure seeded from analysis/pa23-initial-failures: tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	pa21	missing-earlier-feature	pa21/tests/spec/200-elaborated-type-template-argument.t	pa21/tests/spec/200-elaborated-type-template-argument.t	test-added	seed=opus_only; PA21 README: template entity/specialization model, alias/variable/member templates, TTPs, partial specialization, explicit-instantiation ownership; no assignment tests or refs added in this audit pass; reducer validation: smaller /tmp reducer failed at Opus start 1963d796e with unknown type name If<false,struct PrivateNat,int> and passed at Opus fix 4ffffe9df; LowIR and witness refs generated with /home/vishvananda/work/phases/reference-binaries/cppgm++
pa23/tests/general/400-empty-pack-explicit-specialization.t	pa23/tests/general	400	pass	fail	trusted_only		tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	explicit-specialization-and-explicit-instantiation-ownership	0044efd8b explicit-instantiation lowering; 447aab065 stale primary refresh; b9c1574cb member-function explicit specialization; 569fcbd79 member-function explicit instantiation; fb9e82eeb full explicit-specialization defaults	Opus final plan Work log items 9/11 plus explicit-specialization rejection notes cover stale-primary refresh, member ownership, static data, and explicit-instantiation lowering.	Opus initial PA23 baseline passed this row (trusted_only seed); no Opus fixing transition, classification from test content plus Trusted seeded failure: tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	pa21	implementation-bug-only			no-action	no earlier assignment test added: PA23 source accepts at Opus PA23 start 1963d796e and sampled explicit-specialization commits, so there is no Opus fail/fix transition proving a missing earlier reducer
pa23/tests/general/400-forward-function-type-partial-specialization-pack-arity.t	pa23/tests/general	400	fail	fail	both_fail	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	class-partial-specialization-matching-ordering-with-dependent-args	72e996289 non-deduced-context partial specialization; 15a2e9c8d cv/trailing-pack matching and ordering; 7fcd5c92a defaulted trailing partial-spec args; a3c294645 function-type trailing pack; b444d928a array-bound class partial specialization; 8e4c41d4 nested NTTP deduction	Opus final plan Work log items 3/4/7/11/12 document partial-specialization matching, ordering, non-deduced contexts, function types, packs, defaults, and NTTPs.	Opus initial PA23 failure seeded from analysis/pa23-initial-failures: tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	pa21	feature-interaction-earliest-owner	pa21/tests/general/400-forward-function-type-partial-specialization-pack-arity.t	pa21/tests/general/400-forward-function-type-partial-specialization-pack-arity.t	test-added	seed=both_fail; PA21 README: template entity/specialization model, alias/variable/member templates, TTPs, partial specialization, explicit-instantiation ownership; no assignment tests or refs added in this audit pass; Backfilled in PA21; reducer validation: g++ C++11 accepted, Opus start 1963d796e rejects; a3c294645 accepts; LowIR refs generated with external reference binary using --emit-lowir -O0; focused PA21 check passed; no witness sidecar added pending clang witness oracle
pa23/tests/general/400-function-parameter-pack-alias-expansion.t	pa23/tests/general	400	fail	pass	opus_only	tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)		alias-template-dependent-expansion-and-rebinding	72e996289 alias-template pack binding; 3bec27bf4 alias-template-id qualifier in value context; 45820ae4b default args in alias expansion; e32a4ae29 value-context alias defaults; 05bc9195a forwarding alias patterns; 743b7a920 dependent alias pack patterns	Opus final pa23/plan.md Work log item 3 and Loop 56/57 notes identify alias-template expansion, defaults, dependent qualifiers, and pack-preserving rebinding.	Opus initial PA23 failure seeded from analysis/pa23-initial-failures: tool exit status mismatch (expected EXIT_SUCCESS, got EXIT_FAILURE)	pa21	feature-interaction-earliest-owner	analysis/reducers/pa21-function-parameter-pack-alias-expansion.t	pa21/tests/general/400-function-parameter-pack-alias-expansion.t	test-added	seed=both_fail; added PA21 function-parameter pack alias expansion reducer; Opus start 1963d796e rejected undeclared Box<>::f and Opus commit 05bc9195a accepted; external refs and witness refs generated; focused check and witness compare passed; placement audit pa21 --fail-on-early passed; PA21 report passed 101/101.
